Title,IMDb Rating
Toy Story (1995),8.3
Jumanji (1995),7.1
Grumpier Old Men (1995),6.7
Heat (1995),8.3
Sabrina (1995),6.3
GoldenEye (1995),7.2
"American President, The (1995)",6.8
Casino (1995),8.2
Sense and Sensibility (1995),7.7
Ace Ventura: When Nature Calls (1995),6.4
Get Shorty (1995),6.9
Leaving Las Vegas (1995),7.5
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),8.0
Babe (1995),6.9
Dead Man Walking (1995),7.5
Clueless (1995),6.9
Seven (a.k.a. Se7en) (1995),8.6
Pocahontas (1995),6.7
"Usual Suspects, The (1995)",8.5
Mr. Holland's Opus (1995),7.3
From Dusk Till Dawn (1996),7.2
Broken Arrow (1996),6.1
Happy Gilmore (1996),7.0
Braveheart (1995),8.3
Taxi Driver (1976),8.2
"Birdcage, The (1996)",7.2
Bad Boys (1995),6.8
Apollo 13 (1995),7.7
Batman Forever (1995),5.4
Casper (1995),6.2
Congo (1995),5.3
Crimson Tide (1995),7.3
Desperado (1995),7.1
Die Hard: With a Vengeance (1995),7.6
First Knight (1995),6.0
Johnny Mnemonic (1995),5.6
Judge Dredd (1995),5.6
"Net, The (1995)",6.0
Waterworld (1995),6.3
Clerks (1994),7.7
Disclosure (1994),6.2
Dumb & Dumber (Dumb and Dumber) (1994),7.3
Ed Wood (1994),7.8
Interview with the Vampire: The Vampire Chronicles (1994),7.5
Star Wars: Episode IV - A New Hope (1977),8.6
Legends of the Fall (1994),7.5
Natural Born Killers (1994),7.2
Outbreak (1995),6.6
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),8.5
Pulp Fiction (1994),8.9
Quiz Show (1994),7.5
Stargate (1994),7.0
"Santa Clause, The (1994)",6.6
"Shawshank Redemption, The (1994)",9.3
Star Trek: Generations (1994),6.6
What's Eating Gilbert Grape (1993),7.7
While You Were Sleeping (1995),6.8
Ace Ventura: Pet Detective (1994),6.9
Clear and Present Danger (1994),6.9
"Client, The (1994)",6.7
"Crow, The (1994)",7.5
Forrest Gump (1994),8.8
Four Weddings and a Funeral (1994),7.1
"Lion King, The (1994)",8.5
"Mask, The (1994)",6.9
Maverick (1994),7.0
Naked Gun 33 1/3: The Final Insult (1994),6.5
Speed (1994),7.3
True Lies (1994),7.3
Addams Family Values (1993),6.8
Beverly Hills Cop III (1994),5.5
City Slickers II: The Legend of Curly's Gold (1994),5.6
Cliffhanger (1993),6.5
Coneheads (1993),5.4
Dave (1993),6.9
Demolition Man (1993),6.7
"Firm, The (1993)",6.9
"Fugitive, The (1993)",7.8
Hot Shots! Part Deux (1993),6.6
In the Line of Fire (1993),7.2
Jurassic Park (1993),8.2
Last Action Hero (1993),6.5
Mrs. Doubtfire (1993),7.1
Philadelphia (1993),7.7
"Piano, The (1993)",7.5
Robin Hood: Men in Tights (1993),6.7
Schindler's List (1993),9.0
Sleepless in Seattle (1993),6.8
Blade Runner (1982),8.1
"Nightmare Before Christmas, The (1993)",7.9
"Three Musketeers, The (1993)",6.4
Tombstone (1993),7.8
True Romance (1993),7.9
Home Alone (1990),7.7
Ghost (1990),7.1
Aladdin (1992),8.0
Terminator 2: Judgment Day (1991),8.6
Dances with Wolves (1990),8.0
Batman (1989),7.5
"Silence of the Lambs, The (1991)",8.6
Snow White and the Seven Dwarfs (1937),7.6
Beauty and the Beast (1991),8.0
Pinocchio (1940),7.5
Pretty Woman (1990),7.1
Fargo (1996),8.1
Mission: Impossible (1996),7.2
Dragonheart (1996),6.4
Space Jam (1996),6.5
"Truth About Cats & Dogs, The (1996)",6.3
"Rock, The (1996)",7.4
Twister (1996),6.5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.3
Trainspotting (1996),8.1
Independence Day (a.k.a. ID4) (1996),7.0
"Cable Guy, The (1996)",6.1
Eraser (1996),6.2
"Nutty Professor, The (1996)",5.7
"Godfather, The (1972)",9.2
Vertigo (1958),8.3
Rear Window (1954),8.5
North by Northwest (1959),8.3
Casablanca (1942),8.5
"Wizard of Oz, The (1939)",8.1
Citizen Kane (1941),8.3
2001: A Space Odyssey (1968),8.3
It's a Wonderful Life (1946),8.6
Mary Poppins (1964),7.8
"Sound of Music, The (1965)",8.1
Die Hard (1988),8.2
Willy Wonka & the Chocolate Factory (1971),7.8
"Fish Called Wanda, A (1988)",7.5
Monty Python's Life of Brian (1979),8.0
Reservoir Dogs (1992),8.3
Platoon (1986),8.1
E.T. the Extra-Terrestrial (1982),7.9
Top Gun (1986),6.9
"Abyss, The (1989)",7.5
Monty Python and the Holy Grail (1975),8.2
Wallace & Gromit: The Wrong Trousers (1993),8.3
One Flew Over the Cuckoo's Nest (1975),8.7
Star Wars: Episode V - The Empire Strikes Back (1980),8.7
"Princess Bride, The (1987)",8.0
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),8.4
Brazil (1985),7.8
Aliens (1986),8.4
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",8.8
12 Angry Men (1957),9.0
"Clockwork Orange, A (1971)",8.2
To Kill a Mockingbird (1962),8.3
Apocalypse Now (1979),8.4
Star Wars: Episode VI - Return of the Jedi (1983),8.3
Goodfellas (1990),8.7
Alien (1979),8.5
Army of Darkness (1993),7.4
Psycho (1960),8.5
"Blues Brothers, The (1980)",7.9
"Godfather: Part II, The (1974)",9.0
Full Metal Jacket (1987),8.2
Amadeus (1984),8.4
Annie Hall (1977),8.0
"Sting, The (1973)",8.3
"Terminator, The (1984)",8.1
Dead Poets Society (1989),8.1
"Graduate, The (1967)",8.0
Chinatown (1974),8.1
"Shining, The (1980)",8.4
Stand by Me (1986),8.1
Groundhog Day (1993),8.0
Back to the Future (1985),8.5
Cool Hand Luke (1967),8.1
Young Frankenstein (1974),8.0
Fantasia (1940),7.7
This Is Spinal Tap (1984),7.9
Indiana Jones and the Last Crusade (1989),8.2
Field of Dreams (1989),7.5
Butch Cassidy and the Sundance Kid (1969),8.0
When Harry Met Sally... (1989),7.7
Star Trek: First Contact (1996),7.6
Die Hard 2 (1990),7.1
Star Trek II: The Wrath of Khan (1982),7.7
Batman Returns (1992),7.1
Grease (1978),7.2
Jaws (1975),8.1
Mars Attacks! (1996),6.4
